"( S) Saksa","Sáksi"
"(asennosta:) kyyryssä, kyyryyn","guvdnut"
"(astian) korva","bealjas"
"(astiasta:) laakea","leappas"
"(astioista:) vakaa","juollet"
"(attr.) kipeä, sairas (erit. ihminen)","buohcci"
"(attr.) pyryinen","borggas"
"(auringosta:) välähtää pilven takaa","leđget"
"(auton tms.) tankki","táŋka"
"(avaimen) haitta","meaddja"
"(avio)miehineen, (avio)miehensä kanssa","boatnjáš"
"(constantly) slanting, crooked","állil"
"(demin.) bit, scrap, tiny bit","bihtáš"
"(demin.) time, moment","bottoš"
"(dyynimäinen, virran mukana siirtyvä) hietikko (vedessä); (vyöryvä) hiekkamella","fierran"
"töniäˣ (jkta)","náigguhit"
"ketale, kuikelo (laihasta ihmisestä)","roašku"
"(ei kovin korkea eikä laaja, mutta melko jyrkkä) mäki, törmä, töyräs","dearbmi"
"(ei) minkään arvoinen, kaksinen","áktánas"
"(eläimen) kaulanahka","gurtádat"
"(eläimen) kuola","sáivi"
"(eläimen) nilkkaluu","jorˈredákti"
"(eläimen) nisä, tuumi, vedin (utareissa)","njižži"
"(eläimen) siitin, suoro; rustottunut jänne (erit. poron reisiluun yläpäässä)","čagar"
"(eläimen) ulkosynnyttimet","viigá"
"(eläimen, erit. teuraan) ruhonosa, raaja","ruovji"
"(eläimestä:) jolla on lyhyt harja; (rakennuksesta:) matalaharjainen","hárjjeheapme"
"(eläimestä:) luiseva","ruvžu"
"(eläimestä:) nostella (rauhattomasti) jalkojaan","dávlut"
"(eläimestä:) pureskeleva(inen), jolla on paha tapa purra","borralas"
"(eläimestä:) rohkea, urhea, peloton","jállu"
"(eläimistä:) metsistyä, villiytyä","goddiluvvat"
"(eläimistä:) saada jotain hampaisiinsa tai hampaiden rakoon","bátnálastit"
"(eläinten suosima) laidunalue","ealabáiki"
"(elämiseen riittävä) laidun; eläke","ealáhat"
"(elävä) liha, lihaksisto","oažži"
"(elävän eläimen nahasta:) irtonainen; (heinästä:) hereä; juohea, kitkaton, sujuva","luovvat"
"(eno) sisarenlapsensa kanssa, sisarenlapsineen, (mies) naisserkkunsa lapsen kanssa","nebeš"
"(epämiellyttävä) sattumus","válbi"
"(erit. eläimen) nilkka","boaski"
"(erit. eläimistä:) laihtua (vatsastaan), tulla pienivatsaiseksi","čoalehuvvat"
"(erit. esineeseen merkitty) vuosiluku","vuođđalohku"
"(erit. esineestä:) kiero, kierteinen","bonju-"
"(erit. haudan) lepo","vuoiŋŋadus"
"(erit. hylkeen) räpylä","fihčču"
"(erit. iso) sarvikko, sarvikruunu","čoarvvuš"
"(erit. isojen erien) ostaja","gávpolaš"
"(erit. joen rannasta nouseva) esteaita; sulkumerkki (kirjoituksessa)","ruohtu"
"(erit. kalan) pää, ilman alaleukaa","skuvri"
"(erit. kodan) seinänvieri, loukko, sunka","soggi"
"(erit. koiran, suden) kita; suuposki, laide (suussa); suupieli","soalvi"
"(erit. koivun) silmu","dutkkon"
"(erit. komsion) kuomu","goahki"
"(erit. märkivä) tulehdus","vuolši"
"(erit. nahkavaatteita tuhoava) hyönteinen, toukka","giksa"
"(erit. naisen) rinta, tissi","čižži"
"(erit. poron valjaissa oleva koristeltu) selkävyö","avohas"
"(erit. puista:) seistä tykkylumen, paksun huurteen peittämänä","ridnát"
"(erit. pukeutumiseltaan) huoliteltu ihminen","smolge"
"(erit. raatokärpäsen, kiiltokärpäsen) toukka","suoksa"
"(erit. ruoan) hinku, himo","uŋggar"
"(erit. ruoasta:) maistumaton, maittamaton, mauton, vastenmielinen; haluton","lusttuheapme"
"(erit. susien aiheuttama) rauhattomuus","ráfehisvuohta"
"(erit. tinainen) pullo","flásku"
"(erit. tuohinen) lieriö","roavttus"
"(erit. vasoista ja karitsoista:) tulla (pieneksi ja) pallovatsaiseksi","riccagit"
"(erittäin) jyrkkä (rinteestä)","ráđus"
"(esim. heinän) leikkuupaikka; hakkuualue","čuohpahat"
"(esim. ikkuna)lauta; näyttämö","lávdi"
"(esim. jalaksen kärjestä:) loivanousuinen","čimaheapme"
"(esim. kirveen) isku, lyönti (hakatessa); iskos","čuolastat"
"(esim. kodan louteiden) limitys, (limittyvä) liitos, limisauma (esim. lautaa jatkettaessa)","skárru"
"(esim. oven) rako; (erit. silmien) raottamismahdollisuus","goavki"
"(esim. puukon) terä, teräosa, (erit. kirveen) teränpuoli","dearri"
"(esim. sanan) merkitys; merkitys, merkitsevyys; merkintä, huomautus","mearkkašupmi"
"(esim. tyhjien ahkioiden) sisäkkäisyys, (vaatteiden tms.) päällekkäisyys","bolku"
"(esineen tms.) haltija, (lehden tms.) tilaaja","doalˈli"
"(ess.) jäljettömiin, sukupuuttoon","ovttaheapmi"
"(ess.) pilkkanaan","návru"
"(et. porosta, jonka karvanlatva on kuuranvärinen, alaosa tummempi:) kuurakka, päistärikkö, kimo","bihceguolga"
"(eteenpäin) käyrä, (etu)kumarainen; isokokoinen","goaŋkkas"
"(etelänorjalainen) merikalastaja","fealˈlá"
"(etujalan alempi) ydinluu, kontti, (eläimen) värttinäluu, (varvasastujan) etusääri, (ihmisen) kämmenluu","vuorggu"
"(hääparin, rakennuksen) vihkiminen","vihat, vihahus, vihaheapmi"
"(haastamista tai haastavaa kysymystä ilmaiseva partikkeli) haas, -ko, -kö sittenkin, -ko, -kö tosiaan, jospa","hás"
"(hajusta:) lehahtaa, lemahtaa, tuoksahtaa","leavggehit"
"(hakkuu)pölkky","belko"
"(halkeillut tai halkeileva) ydinpuu","jiellu"
"(halko)pino","fiidnu"
"(hammas)kiille","gearradas"
"(hampaista:) kalista (usein)","cielkkástallat"
"(hampaista:) ruveta kalisemaan","cilkkiidit"
"(hamppuinen) jauhosäkki","roaggá"
"(harjamaisesti) koholla, harjalla, harjallinen","hárjjil"
"(harmaa)kaihi","dieigi, smáiti"
"(harva) kampa","gálgan"
"(havupuun) nila, pettu, kuolmus; kelmeä","guolmmas"
"(hehkuva) hiili","hilla"
"(heikosta porohirvaasta:) lähteä rykimään; raiskata (nainen), hyökätä (naisen) kimppuun","čuođˈđát"
"(heinä)hanko","háŋgu"
"(heinä)kupo","lágut"
"(heinä)suova","suovvi"
"(heinä)vita","hávgarássi"
"(helmi)pöllö","idjaloddi"
"(helmi)simpukka, kotilo, näkinkenkä, näkki","skálžu"
"(helposti) haristuva, ravistuva","juokŋalas"
"(helposti) kovettuva, kuivettuva (voitelemattomista nahkavaatteista)","soaldul"
"(helposti) pyörivä","jorˈril"
"(helposti) sulava","suddil"
"(hetkellisesti liian) suorana (suksien tai kengän kärki, ahkion tms. keula)","šnjuoggut"
"(hetkellisesti) suppuun, supussa (huulista, suusta)","smuhččut"
"(hetula)valas","bosˈsu"
"(hevos)loimi","váipe"
"(hevos)paarma","lávžá"
"(hevosen) rehu; (pl.) vilja","gordni"
"(hevosen) soimi","soimme"
"(hevosen, poron) siitin, suoro","guoccat"
"(hienoa lunta satava) lumisade","earbmálat"
"(hillan) raakile","čurrot"
"(hirren) liitos (seinässä)","várrádus"
"(hius)tupsu","cumpi, culpi"
"(hopea)mäkärä","muogir"
"(housujen) persamus, takamus","hiitta"
"(hovioikeuden) tuomari","lágamánˈni"
"(höyry)laiva","dámpa"
"(huonoääninen) tiuku","gihlar"
"(idän)niittyleinikki","fiskesrássi"
"(ihmis)kirppu","lahpis"
"(ihmis)vilinä","jorggis"
"(ihmisen) sikiö","ohki"
"(ihmisen) surma; (esineen) tuho, loppu; hengenvaara; surmapaikka","sorbmi"
"(ihmisestä, eläimestä:) huonokuntoinen","kleaidna"
"(ihmisestä:) kätevä, taitava, tottunut","vánta"
"(ihmisestä:) kunnollinen, luotettava","ávdái"
"(ihmisestä:) kuumaa sietävä","dárješ, dárjil"
"(ihmisestä:) liikkua poroparttion kanssa","čorastallat"
"(ihmisestä:) pyöriä, hyöriä, liehua (jssak); liikkua liian paljon","joreštit"
"(ihmisistä:) kaunis; kaunotar","fávru"
"(ihmisjoukosta, porotokasta:) tulvahtaa, virrata (äkkiä jhk)","márihit"
"(ihosta, sormesta:) likistyä, saada puristushaava","deđvot"
"(ill.) (jhk) päin, suuntaan","hálti"
"(ill.) (saada) kylmiä väreitä iholle, (mennä) kananlihalle; (lok.) kananlihalla (iho), (tuntea) kylmiä väreitä iholla","assigoavdi"
"(ill.) ahtaalle; (lok.) ahtaalla","háhtis"
"(ill.) haltuun; hallintaan; (lok.) hallinnassa, hallinasta, hallussa, hallusta","háldu"
"(ill.) jávkkohahkii: näkymättömiin, pois näkyvistä; (in.-el.) jávkkohagas: näkymättömissä, poissa näkyvistä","jávkkohat"
"(ill.) lähimmäs pöytää; (lok.) lähimpänä pöytää, lähimpää pöytää","beavddimus"
"(ill.) riipuksiin, riippumaan; (lok.) riipuksissa, riippumassa","heaŋggas"
"(ill.) tönköksi","duŋgadas"
"(in.-el. adv.) vanhastaan","boarrásis"
"(in.-el.) komsioon kätkettynä; (ill.) komsioon kätketyksi","gietkagas"
"(iness.-elat.) hiuskarvan varassa","gazzagas"
"(innokas) hiihtäjä; (pl.) (hyvät) sukset","čuoiggan"
"(innokas) makkarantekijä","márffon"
"(intr.) herkutella; (trans.) pitää (suurena) herkkuna, syödä kuten herkkua","herskostallat"
"(intr.) olla epäonnen vaivaama, huono-onninen; töpätä; joutua onnettomuuteen; (tr.) saattaa pulaan","bártidit"
"(irtonainen) pohjalauta, -teljo (veneessä)","luŋka"
"(isä tai äiti) poikansa kanssa, poikineen","bártneš"
"(isää vanhemman) setänsä kanssa","egeš"
"(iso) aalto (meressä)","skávval"
"(iso) hauki, merihauki","golis"
"(iso) heinäsuova","stáhkká"
"(iso) kulkunen","golka"
"(iso) loukku, rita, sadin","rihtá"
"(iso)simppu","áhkábiddu"
"(iso, nelikulmainen) kello","roahpebielˈlu"
"(iso, ruma) kenkä; löntys, löntystäjä","šlohtor"
"(jään patoamasta virtauksesta:) painua (ja nousta taas kerran toisensa perästä)","njiellasaddat"
"(jäästä:) kierä, sileä, kirkas","joallu"
"(jäinen) kimpale, möhkäle, möykky","čuokkar"
"(jalan ylin) ydinluu, kontti, (etujalassa:) olkavarren luu, (takajalassa:) reisiluu (porolla)","noras"
"(jalan)jälki; tie (erit. tienpinta)","luodda"
"(jalan, haravan) lapa","láhpi"
"(jalkojen) haara, jalkojenväli, koipienväli","háhcci"
"(jalkojen) haara, jalkojenväli; pitkäsääri","hárči"
"(jalo)haukka","fálˈli"
"(jängän, aukion, tms., joen lahti) pohjukka, uloke [sic]","skuitu"
"(jänteen) säie, kuitu","sáras"
"(jatkuvasti) töröllään (huulista, astian suun reunoista tms.)","skuibbil"
"(jatkuvasti) vaivata (toista), ruinata, mankua, perätä, kärttää, kerjätä","vuorjjildit"
"(jatkuvasti) vihainen","bosˈsái"
"(jhk) ikävöivä; mahtaileva, tärkeilevä","jievlái"
"(jhonk, jnnek) asti, saakka; (jhonk) mennessä; perille","rádjái"
"(jklle tai jhk) kuuluva, (jllek) ominainen","gulˈlevaš"
"(jkun) kuulten, aikana, läsnäollessa","gullut"
"(jllek) kuuluva; kuulija","gulˈli"
"(jnk tai jkun) puolesta, kannalta","bealis"
"(jnk) kokoinen (väljyydeltään; esim. reikä, putki)","galju"
"(jnk) paksuinen (pyöreistä esineistä)","gasu"
"(jnk) suhteen","hárrái"
"(joen) ylityspaikka, kahluupaikka, lumi- tai jääsilta, kahlaamo","suohpa"
"(joen, järven, kurun) kapeikko, salmi, laakso (esim. kahden tunturin välissä)","bohki"
"(joen, rotkon) latvus","giera"
"(joessa talvehtinut) meritaimen","gudjor"
"(joesta:) syvä (väylän kohdalta)","oalˈlái"
"(joik.) (poro)vaadin","rentonáhkku"
"(jonkin aikaa) käyttämättä ollut, seissyt (ruoasta, rakennusaineksista tms.)","orron"
"(jonkin verran) kauemmas","guhkibuidda"
"(jonkin verran) kesemmäs","geasseliidda"
"(jonkin verran) rannemmas","gáddeliidda"
"(jonkin verran) sinnemmäs","dobbeliidda"
"(jonkin) vastainen teko","leat ruossalassii (mainnanu)"
"(jonossa kulkeneiden eläinten) menojälki, rannio (lumessa)","jolas"
"(jstak sidotusta, nyöritetystä:) päästä solmusta tms., purkautua kerältä tms.","nuollašuvvat"
"(jtak) koskeva; kyseinen","guoskevaš"
"(juhdasta, joskus myös ihmisestä:) poukahtaa","guissádit"
"(juhdasta:) jonka längensijat, ryntäät ovat länkien pilaamat; voimaton, kehno","fálmmeheapme"
"(juoksemisesta aiheutuva) vilinä, vilske","viegalmas"
"(juokseva) hiiva","jester"
"(juuri) niillä seuduin","dainnánaga"
"(kaadetusta t. karsitusta koivusta:) paksurunkoinen","čoskái"
"(kaapin, lipaston) laatikko","skufˈfa"
"(kaareva) emäpuun jatke","loahtta"
"(kaarteen, nuotan jne.) siula","sivli"
"(kädessä pidettävä) ongensiima, pilkki","váđđu"
"(kädestä, aseesta:) varma, tarkka, vakaa; paikkansapitävä, luotettava (ennusteissaan)","virttis"
"(kahdesta syrjällään olevasta lankusta koostuva) höyläpenkki","skohtabeaŋka"
"(kahvi- tai liha)mylly","feardna"
"(kala)lokki","skávli"
"(kalan) peräaukko","čoallegeahči"
"(kalan) pyrstö; (kiväärin, haulikon) perä; sivuperäsin","beahcet"
"(kalan) vatsanalus","eavru"
"(kalan)suljussa, limassa (kalasta)","njuovunaga"
"(kalasta:) lihaisa","cuohppái"
"(kangas)keltalieko","gieldá"
"(kankaan) leveys","vupmodat"
"(kankaan, nahan) kaistale, suikale; (miehenlakin) yläosakappale","stielas"
"(kansan)heimo, kansallisuus; heimo (biol.)","čearda"
"(kantamaton) hankiainen","moarádat"
"(kapea) kalliontasanne","báktelokta"
"(kapea) kannas; poikkipuu (reen kopassa tai tavara-ahkiossa)","cahca"
"(kapea) lahti, vuopaja","vuohppi"
"(kapea) sola, kuilu (tunturissa)","skoarru"
"(kapea) tuulenviri (veden pinnalla)","biekkanjuolla"
"(karhun) haaska","bearbbil"
"(kärpän) hajurauhanen, (majavan) hausta","bákša"
"(käsi)laukku","feasku"
"(kaste)mato, toukka","máhtu"
"(kattilan, ropeen tms.) sanka","vuosˈsi"
"(kauan) odotettu, mieluinen","vuorddálmas"
"(kehon) elin; (seuran tms.) elin; äänenkannattaja","orgána"
"(keittää ja) juoda kahvia, kahvistella","káfestallat"
"(kelistä vähän lumen aikana:) kova, (kelistä:) vähäluminen","roddii"
"(kengän) kantakappale, kappi; (kengän) korko","jocca"
"(kengän) ruoju(s)","ruojas"
"(kenkäheinä)sormainen, kouraus, sormaus, vihko (kenkäheinää)","gieđahas"
"(kenkäheinää kasvava) kosteikko, kulju","guovda"
"(kenttä)myyrä","muolddat"
"(kerralla käytettävä) kenkäheinäerä","dállas"
"(kerrallinen suopungin) heitto","njorostat"
"(kerrallinen) puristus","čárvestat"
"(kerrallinen) vikinä, inahdus, uikahdus","njimanas"
"(kesällä kuivuva) lampi","guorru"
"(keskinäinen) ymmärrys","áddehallan"
"(keväällä hangella liikkuva) lumikärpänen","guosttačuru"
"(keväinen) jäkälännostopaikka; lakoheinä","njejohat"
"(keveästi sauvottava) vene","gehpot"
"(kihlattu) morsian","moarsi"
"(kihlattu) sulhanen","irgi"
"(kiivas) ravi","doalvi"
"(kinoksen tai kallion) kieleke, ulkonema","guovlla"
"(kirja)koi","muohcu"
"(kirjan) kansi, kansio","bearbma"
"(kirjan) lehti; (sanoma)lehti","bláđđi"
"(kirkkaanvärinen) kukka","hearvarássi"
"(kirveen, neulan) silmä","šalbmi"
"(kivi)paasi","helˈlogeađgi"
"(kivi)piira (linnulla)","birrin"
"(kivi)vyöry, (kivi)vyörymä (tai sen jälki rinteessä), maanvyöry(mä)","njirran"
"(kodan kankainen) ovi; läppä (anat.)","uvssot"
"(kodan oven) kannike (puinen, oven yläreunassa); (nuotan) povilaudus","rivja"
"(kodan) korvakko, kotakorva","beallji"
"(kodan) kynnys","lassá"
"(kodan) runkopuu, (kannattava) laavupuu","válddáhat"
"(koiraeläimistä:) maata kerälle kiertyneenä","goarját"
"(koiran t. kissan) latkittava","čuogus"
"(koiran) kannus","siekkis"
"(koiran) kuonoke, umus","vuoŋas"
"(koiran, kissan, petoeläinten) kiima","gieibmi"
"(koirasta, joka paimennettaessa palaa vähän matkaa mentyään takaisin:) laiska; vastahakoinen","navggas"
"(koirasta:) ärhäkkä","boradahkes"
"(koirasta:) haukahtaa käskettäessä (erit. poroja)","viššalit"
"(koirasta:) haukkua (käskettäessä, esim. poroja)","viššat"
"(koirasta:) luskuttaa, räkyttää","roguhit"
"(koirasta:) luskuttaja, räksyttäjä, räkyttäjä","liešká"
"(kokonainen) kuorma, (riittävä) määrä","doarvi"
"(komeaoksainen) mänty; tunturilainen","barju"
"(komsion) päällysnahka","luvddon"
"(korpin) ronkunta","ruŋkkas"
"(korvamerkin teoista:) alla oleva, alta","maŋildas-"
"(korvata)","gokčat"
"(kotieläimestä:) joka usein menee (kauas)","manˈni"
"(kotieläimistä:) joka mielellään menee (kauas), menoisa","mannalas"
"(kova) haukunta, luskutus","šáikkas, šáiggas"
"(kova) kinos","čearga"
"(kova) kipu","gihpu"
"(kova) kuivuus","jaŋádat"
"(kova) savi","beatnatláirá"
"(kovaääninen) nauru, räkätys, kikatus","reaškkas"
"(kovahko, ei kantava) lumi","činus"
"(koverrettu) kaukalo, ruuhi, allas","gárcu"
"(kovin kulunut) nahka, talja; (vanha, kulunut) nahkavaate; kuluneisiin nahkavaatteisiin pukeutunut henkilö; hömppä, ääliö","skieddu"
"(köyden) punos; kierre, kierukka, spiraali","botnji"
"(kudottu) ranteenlämmitin","vevvel"
"(kuistille vievät) portaat","bortá"
"(kuiva) kannikka, leivänkannikka","rieski"
"(kuivuva) pudas","bovccis"
"(kukkiva) väinönputki","dávttat"
"(kumollaan olevan veneen) pohja","goalva"
"(kun) kerran, koska; joskus, (erään) kerran; muinoin","gearddi"
"(kylmä) rankkasade; kylmä ja rankka sade","ráššu"
"(kylvö)siemen, siemenperuna; apulanta","gilvva"
"(kypsä) hilla, lakka, (suo)muurain","láttat"
"(laaja, tasainen, karu) vaara, tunturi; laaja, tasaisehko vaara-alue; lapinkylä, paliskunta","čearru"
"(laajahko, tav. soinen) aukea, aukio (metsässä); (laakea) kunnas","vađđa"
"(lääkärin tms.) todistus","ateasta"
"(lähes) hyytynyt, jähmeä; käheä","sinas"
"(laitteista:) luotettava, tarkka","deavis"
"(laivan tms.) kansi","deahkka"
"(laivan) kantavuus","suvdinnákca"
"(lakaistu) rikkaläjä, roskakasa","njámahat"
"(lämpötilan tms.) aste","gráda"
"(lampun)sydän","veaika"
"(lapin)kakku, rieska","gáhkku"
"(lapin)kataja","gaskkas, reatká"
"(lapin)myyrä, hiiri","sáhpán"
"(lapin)tiainen","gaccet, gaccepaš"
"(lapin)tiira","čearrit"
"(lapinlakista:) jossa on suuret sakarat","čiehkkái"
"(lapinpuna)herukka, (punainen) viinimarja","jierit"
"(lapsen) kaste","gásta"
"(lapsen) vaippa; komsion kuivikkeena käytettävä sammal","raksa"
"(lapsesta, vasasta jne.:) seistä jssak pallovatsaisena","rivzát"
"(lapsesta, vasasta jne.:) tulla pallovatsaiseksi","rivzzagit"
"(large and) ugly old thing (for ex. of an old, clumsy boat)","ruowˈdnjol"
"(large) building","bikket"
"(laulu)joutsen","njukča"
"(lehden) toimitus; toimitus, toimittaminen, suoritus","doaimmahus"
"(lehmän) kytkyt, lavi","gietkkuš"
"(lehmän) vasikka","gálbi"
"(lehmästä, lampaasta, vuohesta:) härkiä, haluta paritella","gimastuvvat"
"(lehmästä:) jonka ternimaidosta saadaan runsaasti juustoa tai jolla on runsaasti ternimaitoa","gásˈsái"
"(lehtipuun) juuriverso","boadju"
"(lehto)ukonhattu","áhkáras"
"(leikattu) pala, pätkä (narua tms.); viipale (leipää, kalaa tms.); pintilö","časkkis"
"(leivästä, puurosta:) raaka","meađmma"
"(leuka)parta (erit. pitkä); (avaimen) haitta","skávžá"
"(leveä) kalliontasanne","báktestealli"
"(leveähkö) harjanne, harju","čorru"
"(lievä) humalatila","oaivvesvuohta"
"(lievä) tartuntatauti","logahasdávda"
"(lihassa oleva) jänne; (kova) kalvo (lihassa), lihaskalvo; pallea","njárčá"
"(liian) antelias","atteš"
"(liian) lyhyt (karvoista, jouhista, tms.)","nievkkas"
"(liian) matala (astiasta)","stáččas"
"(liian) suorana (nenästä, keulasta, suksen kärjestä)","šnjuokkil"
"(liian) syvä, korkealaitainen","gurccas"
"(liian) täyteen, täynnä, (liian) tiuhaan, tiuhassa, (liian) tiukkaan, tiukassa","nágga"
"(liikunta)vammainen, raajarikkoinen, rampa","lámis"
"(liiton) arkki","árka"
"(linnuista, tytöistä, naisista:) kesy, myöntyväinen","vuonjas"
"(linnuista:) hautoa; hyväillä (erit. rintoja)","lálašit"
"(linnuista:) hautoa; lelliä, lellitellä (lasta)","lállit"
"(linnun) kupu","buokŋa"
"(linnun) perä","bahtaculpi"
"(linnun) pyrstö; korkeusperäsin","bađuš"
"(linnun) rinta, täkkä","beađđi"
"(linnun, lentokoneen, potkurin jne.) siipi; hiha; jalka (toinen ylävirran puoleisista jaloista patopukissa); (aidan tms.) johde, (nuotan) reisi; kampi","soadjá"
"(litteän esineen) paksuus, vahvuus","assodat"
"(litteästä esineestä:) lappeellaan, syrjin oleva (syrjä jhk päin käännettynä), vaakasuora","láskko-"
"(litteiden esineiden) ohuus; hoopous, höperyys","asehisvuohta, asehašvuohta"
"(lohen) nousureitti","guorahat"
"(lohen)punainen","goaidi"
"(lohijalkaa isompi, keskikokoinen) lohi","luossagiera"
"(loiva) mutka, kaarre","suoibmasodju"
"(loiva) rinne, kaade, vieru","njoaiddu"
"(loivalla) mutkalla, kaarella","gával"
"(lok. sg. pronominista mii) missä, mistä","mas"
"(lok.) (kodan) loukon puolella, puolelta; (ill.) (kodan) loukon puolelle","sokkabealli"
"(lok.) alas luiskahtaneena, (ill.) alas luiskahtaneeksi","njahpagas"
"(lok.) hukassa, (ill.) hukkaan","spillu"
"(lok.) jonkin matkan päässä (edellä tai perässä liikkuvasta); (ill.) jonkin matkan päähän (edellä tai perässä liikkuvasta)","lihpebadji"
"(lok.) kadoksissa; (ill.) kadoksiin","láhppagas, láhpus"
"(lok.) käsillä, saatavilla; (ill.) käsille, saataville","sadjagas"
"(lok.) kiillotettuna; (ill.) kiillotetuksi","geallagas"
"(lok.) kohotettuna, nostettuna; (ill.) kohotetuksi, nostetuksi (tulella olevasta astiasta)","goarka"
"(lok.) korkealla, korkealta, korkeudessa, korkeudesta, korkeuksissa, korkeuksista; (ill.) korkealle, korkeuksiin, korkeuteen","allagas"
"(lok.) koukkuun tarttuneena muusta kohdasta kuin suustaan (kalasta); (ill.) ...tarttuneeksi...","njahppagas, njahpas"
"(lok.) kulkeilla; (ill.) kulkeille","mannolat"
"(lok.) kurkussa, nieltynä; (ill.) kurkusta alas, niellyksi","njiellagas"
